"Posted.Date","Facilities.Number","Rental.Price","House.Size","Floor","Area.Type","House.Locality","House.City","House.Furnishing","Tenant.Targeted","Bathroom.Number","Contact.Person","Rent.Per.Unit","Current.Floor","Total.Floor","Difference.Floor"
2022-05-18,2,10000,1100,"Ground out of 2","Super","Bandel","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",9.09,0,2,2
2022-05-13,2,20000,800,"1 out of 3","Super","Phool Bagan, Kankurgachi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",25,1,3,2
2022-05-16,2,17000,1000,"1 out of 3","Super","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",17,1,3,2
2022-07-04,2,10000,800,"1 out of 2","Super","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",12.5,1,2,1
2022-05-09,2,7500,850,"1 out of 2","Carpet","South Dum Dum","Kolkata","Unfurnished","Bachelors",1,"Owner",8.82,1,2,1
2022-04-29,2,7000,600,"Ground out of 1","Super","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",11.67,0,1,1
2022-06-21,2,10000,700,"Ground out of 4","Super","Malancha","Kolkata","Unfurnished","Bachelors",2,"Agent",14.29,0,4,4
2022-06-21,1,5000,250,"1 out of 2","Super","Malancha","Kolkata","Unfurnished","Bachelors",1,"Agent",20,1,2,1
2022-06-07,2,26000,800,"1 out of 2","Carpet","Palm Avenue Kolkata, Ballygunge","Kolkata","Unfurnished","Bachelors",2,"Agent",32.5,1,2,1
2022-06-20,2,10000,1000,"1 out of 3","Carpet","Natunhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",10,1,3,2
2022-05-23,3,25000,1200,"1 out of 4","Carpet","Action Area 1, Rajarhat Newtown","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent",20.83,1,4,3
2022-06-07,1,5000,400,"1 out of 1","Carpet","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",12.5,1,1,0
2022-05-14,1,6500,250,"1 out of 4","Carpet","Tarulia, Keshtopur","Kolkata","Furnished","Bachelors",1,"Owner",26,1,4,3
2022-05-09,1,5500,375,"1 out of 2","Carpet","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",14.67,1,2,1
2022-05-05,3,8500,900,"Ground out of 2","Carpet","Paschim Barisha","Kolkata","Unfurnished","Bachelors",2,"Owner",9.44,0,2,2
